Sample, Read
12448187, 1
12448189, 0
12448198, 1
12448236, 0
12448244, 1
12448284, 0
12448292, 1
12448329, 0
12448338, 1
12448362, 0
12448371, 1
12448408, 0
12448417, 1
12448457, 0
12448466, 1
12448519, 0
12448528, 1
12448566, 0
12448575, 1
12448597, 0
12448606, 1
12448630, 0
12448638, 1
12448676, 0
12448685, 1
12448724, 0
12448733, 1
12448755, 0
12448763, 1
12448787, 0
12448796, 1
12448833, 0
12448842, 1
12448865, 0
12448874, 1
12448897, 0
12448905, 1
12448929, 0
12448937, 1
12448991, 0
12449000, 1
12449023, 0
12449032, 1
12449054, 0
12449062, 1
12449087, 0
12449095, 1
12449132, 0
12449141, 1
12449164, 0
12449173, 1
12449196, 0
12449205, 1
12449243, 0
12449252, 1
12449275, 0
12449283, 1
12449323, 0
12449331, 1
12449369, 0
12449378, 1
12449433, 0
12449442, 1
12449496, 0
12449505, 1
12449543, 0
12449551, 1
12449574, 0
12449582, 1
12449606, 0
12449615, 1
12449652, 0
12449661, 1
12449700, 0
12449709, 1
12449731, 0
12449740, 1
12449763, 0
12449772, 1
12449794, 0
12449803, 1
12449826, 0
12449835, 1
12449857, 0
12449866, 1
12449890, 0
12449898, 1
12449936, 0
12449945, 1
12450000, 0
12450009, 1
12450062, 0
12450070, 1
12450094, 0
12450102, 1
12450126, 0
12450134, 1
12450189, 0
12450198, 1
12450252, 0
12450260, 1
12450300, 0
12450308, 1
12450346, 0
12450355, 1
12450409, 0
12450418, 1
12450456, 0
12450464, 1
12450488, 0
12450497, 1
12450519, 0
12450528, 1
12450551, 0
12450560, 1
12450582, 0
12450591, 1
12450614, 0
12450622, 1
12450645, 0
12450654, 1
12450677, 0
12450686, 1
12450709, 0
12450717, 1
12450756, 0
12450764, 1
12450787, 0
12450796, 1
12450818, 0
12450827, 1
12450850, 0
12450859, 1
12450913, 0
12450922, 1
12450944, 0
12450953, 1
12450976, 0
12450985, 1
12451007, 0
12451016, 1
12451040, 0
12451048, 1
12451103, 0
12451111, 1
12451166, 0
12451174, 1
12451229, 0
12451237, 1
12451275, 0
12451284, 1
12451307, 0
12451315, 1
12451355, 0
12451363, 1
12451401, 0
12451410, 1
12451433, 0
12451442, 1
12451464, 0
12451473, 1
12451496, 0
12451505, 1
12451527, 0
12451535, 1
12451559, 0
12451568, 1
12451606, 0
12451614, 1
12451669, 0
12451677, 1
12451700, 0
12451709, 1
12451732, 0
12451741, 1
12451780, 0
12451788, 1
12451827, 0
12451835, 1
12451858, 0
12451867, 1
12451922, 0
12451931, 1
12451984, 0
12451993, 1
12452016, 0
12452024, 1
12452047, 0
12452055, 1
12452079, 0
12452087, 1
12452110, 0
12452119, 1
12452158, 0
12452166, 1
12452188, 0
12452197, 1
12452220, 0
12452229, 1
12452251, 0
12452260, 1
12452283, 0
12452291, 1
12452315, 0
12452323, 1
12452363, 0
12452371, 1
12452409, 0
12452418, 1
12452457, 0
12452466, 1
12452520, 0
12452528, 1
12452582, 0
12452591, 1
12452629, 0
12452637, 1
12452661, 0
12452669, 1
12452692, 0
12452700, 1
12452723, 0
12452732, 1
12452754, 0
12452763, 1
12452786, 0
12452795, 1
12452818, 0
12452827, 1
12452867, 0
12452875, 1
12452928, 0
12452937, 1
12452959, 0
12452968, 1
12452991, 0
12453000, 1
12453039, 0
12453048, 1
12453084, 0
